sample,year,cumulative_progress,progress_rate,bottleneck_stage
16,2038.0,31.3677787969268,2.88637982648026,7.0
16,2039.0,34.31427088755881,2.946492090632016,7.0
16,2040.0,37.31268835758381,2.9984174700249997,7.0
16,2041.0,40.35558791406611,3.0428995564823045,7.0
16,2042.0,43.43627780979024,3.0806898957241295,7.0
16,2043.0,46.54880704063828,3.112529230848042,7.0
16,2044.0,49.68793907753434,3.1391320368960574,7.0
16,2045.0,52.849113473952464,3.1611743964181254,7.0
16,2046.0,56.028398587454795,3.179285113502333,7.0
16,2047.0,59.222438425295906,3.1940398378411086,7.0
16,2048.0,62.42839630073354,3.2059578754376346,7.0
16,2049.0,65.64389760081312,3.2155013000795742,7.0
16,2050.0,68.86697354944954,3.223075948636422,7.0
17,2024.0,1.0,1.0,7.0
17,2025.0,2.2052293495595654,1.2052293495595656,7.0
17,2026.0,3.620697839947125,1.4154684903875598,7.0
17,2027.0,5.249123959223855,1.6284261192767304,7.0
17,2028.0,7.091110330779863,1.8419863715560074,7.0
17,2029.0,9.145329505512763,2.0542191747329004,7.0
17,2030.0,11.408717263633122,2.2633877581203596,7.0
17,2031.0,13.876670534486696,2.4679532708535743,7.0
17,2032.0,16.54324705641016,2.6665765219234623,7.0
17,2033.0,19.4013639730697,2.8581169166595397,7.0
17,2034.0,22.44299269565497,3.041628722585269,7.0
17,2035.0,25.65934754754614,3.216354851891171,7.0
17,2036.0,29.04106594374454,3.3817183961984014,7.0
17,2037.0,32.578378134039475,3.537312190294935,7.0
17,2038.0,36.26126484790729,3.682886713867814,7.0
17,2039.0,40.079601510917776,3.8183366630104816,7.0
17,2040.0,44.02328804683052,3.9436865359127498,7.0
17,2041.0,48.08236362633476,4.059075579504238,7.0
17,2042.0,52.24710606252513,4.164742436190368,7.0
17,2043.0,56.50811587538228,4.261009812857151,7.0
17,2044.0,60.8563853444304,4.348269469048119,7.0
17,2045.0,65.2833531333875,4.426967788957087,7.0
17,2046.0,69.78094529757571,4.497592164188226,7.0
17,2047.0,74.34160367038852,4.560658372812811,7.0
17,2048.0,78.95830276725049,4.616699096861968,7.0
17,2049.0,83.624556444019,4.666253676768525,7.0
17,2050.0,88.33441560304473,4.709859159025728,7.0
18,2024.0,1.0,1.0,7.0
18,2025.0,2.3338744133465252,1.3338744133465252,7.0
18,2026.0,3.980091652968054,1.6462172396215289,7.0
18,2027.0,5.91612876470741,1.9360371117393558,7.0
18,2028.0,8.118852441020007,2.2027236763125972,7.0
18,2029.0,10.564894402037687,2.4460419610176802,7.0
18,2030.0,13.231011061374675,2.666116659336988,7.0
18,2031.0,16.094418095146793,2.8634070337721185,7.0
18,2032.0,19.133091647815057,3.0386735526682624,7.0
18,2033.0,22.326029383852912,3.1929377360378552,7.0
18,2034.0,25.65346635161486,3.3274369677619466,7.0
18,2035.0,29.097042567279676,3.443576215664817,7.0
18,2036.0,32.63992124164262,3.5428786743629397,7.0
18,2037.0,36.26685854546338,3.6269373038207617,7.0
18,2038.0,39.964227628847595,3.69736908338422,7.0
18,2039.0,43.720001178396274,3.7557735495486764,7.0
18,2040.0,47.5236980346816,3.8036968562853244,7.0
18,2041.0,51.36630025025054,3.842602215568939,7.0
18,2042.0,55.24014742251283,3.873847172262285,7.0
18,2043.0,59.13881519415722,3.8986677716443934,7.0
18,2044.0,63.056984511394454,3.918169317237233,7.0
